key	global	local_title	local_description
advancements.husbandry.plant_any_sniffer_seed.title	Planting the Past	遥か古の植物	スニッファーが見つけた種を植える
advancements.husbandry.plant_seed.title	A Seedy Place	種だらけの場所	種を植え、成長を観察する
advancements.husbandry.ride_a_boat_with_a_goat.title	Whatever Floats Your Goat!	あなたのヤギたい様に！	ヤギと一緒にボートに乗り、浮かぶ
advancements.husbandry.safely_harvest_honey.title	Bee Our Guest	秘蜜の晩餐会	焚き火を利用して、ミツバチを怒らせずにガラス瓶でハチミツを手に入れる
advancements.husbandry.silk_touch_nest.title	Total Beelocation	綿蜜な引越し	シルクタッチを使用して、3匹のミツバチが中に入っているハチの巣を移動する
advancements.husbandry.tactical_fishing.title	Tactical Fishing	戦術的漁業	魚を捕まえる…釣竿なしで！
advancements.husbandry.tadpole_in_a_bucket.title	Bukkit Bukkit	おけおけ	バケツでオタマジャクシを捕まえる
advancements.husbandry.tame_an_animal.title	Best Friends Forever	永遠の親友となるだろう	動物を手懐ける
advancements.husbandry.wax_off.title	Wax Off	錆止め落とし	銅ブロックの錆止めをこすり落とす！
advancements.husbandry.wax_on.title	Wax On	錆止め	銅ブロックにハニカムを塗る！
advancements.nether.all_effects.title	How Did We Get Here?	どうやってここまで？	すべての種類の効果の付与を同時に受ける
advancements.nether.all_potions.title	A Furious Cocktail	猛烈なカクテル	すべての種類のポーション効果の付与を同時に受ける
advancements.nether.brew_potion.title	Local Brewery	町のお薬屋さん	ポーションを醸造する
advancements.nether.charge_respawn_anchor.title	Not Quite "Nine" Lives	人に九生なし	リスポーンアンカーを最大までチャージする
advancements.nether.create_beacon.title	Bring Home the Beacon	生活のビーコン	ビーコンを組み立てて起動させる
advancements.nether.create_full_beacon.title	Beaconator	ビーコネーター	最大パワーのビーコンを作る
advancements.nether.distract_piglin.title	Oh Shiny	わーいぴかぴか！	金でピグリンの気をそらす
advancements.nether.explore_nether.title	Hot Tourist Destinations	ホットな観光地	すべての種類のネザーのバイオームを発見する
advancements.nether.fast_travel.title	Subspace Bubble	亜空間バブル	ネザーを利用して7km先のオーバーワールドへ移動する
advancements.nether.find_bastion.title	Those Were the Days	兵どもが夢の跡	砦の遺跡へ入る
advancements.nether.find_fortress.title	A Terrible Fortress	恐ろしい要塞	ネザー要塞に侵入する
advancements.nether.get_wither_skull.title	Spooky Scary Skeleton	不気味で怖いスケルトン	ウィザースケルトンの頭蓋骨を手に入れる
advancements.nether.loot_bastion.title	War Pigs	ブタ戦争	砦の遺跡にあるチェストを開く
advancements.nether.netherite_armor.title	Cover Me in Debris	残骸で私を覆って	ネザライトの防具一式を手に入れる
advancements.nether.obtain_ancient_debris.title	Hidden in the Depths	深淵に隠されしもの	古代の残骸を手に入れる
advancements.nether.obtain_blaze_rod.title	Into Fire	炎の中へ	ブレイズロッドを手に入れる
advancements.nether.obtain_crying_obsidian.title	Who is Cutting Onions?	玉ねぎを切っているのは誰？	泣く黒曜石を手に入れる
advancements.nether.return_to_sender.title	Return to Sender	差出人に返送	火の玉をガストに打ち返す
advancements.nether.ride_strider_in_overworld_lava.title	Feels Like Home	実家のような安心感	オーバーワールドの溶岩湖で長ーーーくストライダーを乗りこなす
advancements.nether.ride_strider.title	This Boat Has Legs	足のついたボート	歪んだキノコ付きの棒を持ってストライダーに乗る
advancements.nether.summon_wither.title	Withering Heights	荒が丘	ウィザーを召喚する
advancements.nether.uneasy_alliance.title	Uneasy Alliance	不安な同盟	ガストをネザーから救出し、安全にオーバーワールドに持ち帰り…そして倒す。
advancements.nether.use_lodestone.title	Country Lode, Take Me Home	この道をずっとゆけば	コンパスの指し示す先をロードストーンに固定する
advancements.story.cure_zombie_villager.title	Zombie Doctor	ゾンビドクター	村人ゾンビを弱らせてから治療する
advancements.story.deflect_arrow.title	Not Today, Thank You	今日はやめておきます	盾で飛び道具を跳ね返す
advancements.story.enchant_item.title	Enchanter	エンチャントの使い手	エンチャントテーブルでアイテムをエンチャントする
advancements.story.enter_the_end.title	The End?	おしまい？	エンドポータルに入る
advancements.story.enter_the_nether.title	We Need to Go Deeper	さらなる深みへ	ネザーポータルを作り、着火し、入る
advancements.story.follow_ender_eye.title	Eye Spy	アイ・スパイ	エンダーアイを追いかける
advancements.story.form_obsidian.title	Ice Bucket Challenge	アイス・バケツ・チャレンジ	黒曜石を手に入れる
advancements.story.iron_tools.title	Isn't It Iron Pick	鉄のツルハシで決まり	ツルハシを強化する
advancements.story.lava_bucket.title	Hot Stuff	ホットスタッフ	バケツを溶岩で満たす
advancements.story.mine_diamond.title	Diamonds!	ダイヤモンド！	ダイヤモンドを手に入れる
advancements.story.mine_stone.title	Stone Age	石器時代	真新しいツルハシで石を採掘する
advancements.story.obtain_armor.title	Suit Up	装備せよ	鉄の防具で身を守る
advancements.story.shiny_gear.title	Cover Me with Diamonds	ダイヤモンドで私を覆って	ダイヤモンドの防具は命を救います
advancements.story.smelt_iron.title	Acquire Hardware	金属を手に入れる	鉄インゴットを製錬する
advancements.story.upgrade_tools.title	Getting an Upgrade	アップグレード	より良いツルハシを作成する
